"Series";"Time";"Value"
"liveness-http on minikube";"2020-05-19 21:11:50";null
"liveness-http on minikube";"2020-05-19 21:11:55";null
"liveness-http on minikube";"2020-05-19 21:12:00";null
"liveness-http on minikube";"2020-05-19 21:12:05";null
"liveness-http on minikube";"2020-05-19 21:12:10";null
"liveness-http on minikube";"2020-05-19 21:12:15";null
"liveness-http on minikube";"2020-05-19 21:12:20";null
"liveness-http on minikube";"2020-05-19 21:12:25";null
"liveness-http on minikube";"2020-05-19 21:12:30";null
"liveness-http on minikube";"2020-05-19 21:12:35";null
"liveness-http on minikube";"2020-05-19 21:12:40";null
"liveness-http on minikube";"2020-05-19 21:12:45";null
"liveness-http on minikube";"2020-05-19 21:12:50";null
"liveness-http on minikube";"2020-05-19 21:12:55";null
"liveness-http on minikube";"2020-05-19 21:13:00";null
"liveness-http on minikube";"2020-05-19 21:13:05";null
"liveness-http on minikube";"2020-05-19 21:13:10";null
"liveness-http on minikube";"2020-05-19 21:13:15";null
"liveness-http on minikube";"2020-05-19 21:13:20";null
"liveness-http on minikube";"2020-05-19 21:13:25";null
"liveness-http on minikube";"2020-05-19 21:13:30";null
"liveness-http on minikube";"2020-05-19 21:13:35";null
"liveness-http on minikube";"2020-05-19 21:13:40";null
"liveness-http on minikube";"2020-05-19 21:13:45";null
"liveness-http on minikube";"2020-05-19 21:13:50";null
"liveness-http on minikube";"2020-05-19 21:13:55";null
"liveness-http on minikube";"2020-05-19 21:14:00";null
"liveness-http on minikube";"2020-05-19 21:14:05";null
"liveness-http on minikube";"2020-05-19 21:14:10";null
"liveness-http on minikube";"2020-05-19 21:14:15";null
"liveness-http on minikube";"2020-05-19 21:14:20";null
"liveness-http on minikube";"2020-05-19 21:14:25";null
"liveness-http on minikube";"2020-05-19 21:14:30";null
"liveness-http on minikube";"2020-05-19 21:14:35";null
"liveness-http on minikube";"2020-05-19 21:14:40";null
"liveness-http on minikube";"2020-05-19 21:14:45";null
"liveness-http on minikube";"2020-05-19 21:14:50";null
"liveness-http on minikube";"2020-05-19 21:14:55";null
"liveness-http on minikube";"2020-05-19 21:15:00";null
"liveness-http on minikube";"2020-05-19 21:15:05";null
